subprefeitura,distrito,area,populacao,densidade
Aricanduva,Aricanduva,"6,6",89.622,13.579
Aricanduva,Carrão,"7,5",83.281,11.104
Aricanduva,Vila Formosa,"7,4",94.799,12.811
Butantã,Butantã,"12,5",54.196,4.336
Butantã,Morumbi,"11,4",46.957,4.119
Butantã,Raposo Tavares,"12,6",100.164,7.950
Butantã,Rio Pequeno,"9,7",118.459,12.212
Butantã,Vila Sônia,"9,9",108.441,10.954
Campo Limpo,Campo Limpo,"12,8",211.361,16.513
Campo Limpo,Capão Redondo,"13,6",268.729,19.759
Campo Limpo,Vila Andrade,"10,3",127.015,12.332
Capela do Socorro,Cidade Dutra,"29,3",196.360,6.702
Capela do Socorro,Grajaú,92,360.787,3.922
Capela do Socorro,Socorro,12.90,37.783,2.929
Casa Verde,Cachoeirinha,"13,3",143.523,10.791
Casa Verde,Casa Verde,"7,1",85.624,12.060
Casa Verde,Limão,"6,3",80.229,12.735
Cidade Ademar,Cidade Ademar,12,266.681,22.223
Cidade Ademar,Pedreira,"18,7",144.317,7.717
Cidade Tiradentes,Cidade Tiradentes,15,211.501,14.100
Ermelino Matarazzo,Ermelino Matarazzo,"8,7",113.615,13.059
Ermelino Matarazzo,Ponte Rasa,"6,4",93.894,14.671
Freguesia do Ó,Brasilândia,21,264.918,12.615
Freguesia do Ó,Freguesia do Ó,"10,5",142.327,13.555
Guaianases,Lajeado,"9,2",164.512,12.093
Guaianases,Guaianases,"8,6",103.996,17.882
Ipiranga,Cursino,"12,8",109.088,8.523
Ipiranga,Ipiranga,"10,5",106.865,10.178
Ipiranga,Sacomã,"14,2",247.851,17.454
Itaim Paulista,Itaim Paulista,12,224.074,18.673
Itaim Paulista,Vila Curuçá,"9,7",149.053,15.366
Itaquera,Cidade Líder,"10,2",126.597,12.411
Itaquera,Itaquera,"14,6",204.871,14.032
Itaquera,José Bonifácio,"14,1",124.122,8.803
Itaquera,Parque do Carmo,"15,4",68.258,4.432
Jabaquara,Jabaquara,"14,1",223.780,15.871
Jaçanã,Jaçanã,"7,8",94.609,12.129
Jaçanã,Tremembé,"56,3",197.258,3.504
Lapa,Barra Funda,"5,6",14.383,2.568
Lapa,Jaguara,"4,6",24.895,5.412
Lapa,Jaguaré,"6,6",49.863,7.555
Lapa,Lapa,10,65.739,6.574
Lapa,Perdizes,6.10,111.161,18.223
Lapa,Vila Leopoldina,"7,2",39.485,5.484
M'Boi Mirim,Jardim Ângela,"37,4",295.434,7.899
M'Boi Mirim,Jardim São Luís,"24,7",267.871,10.845
Mooca,Água Rasa,"6,9",84.963,12.313
Mooca,Belém,6,45.057,7.510
Mooca,Brás,"3,5",29.265,8.361
Mooca,Mooca,"7,7",75.724,9.834
Mooca,Pari,"2,9",17.299,5.965
Mooca,Tatuapé,"8,2",91.672,11.180
Parelheiros,Marsilac,200,8.258,41
Parelheiros,Parelheiros,"153,5",131.183,855
Penha,Artur Alvim,"6,6",105.269,15.950
Penha,Cangaíba,16,136.623,8.539
Penha,Penha,"11,3",127.820,11.312
Penha,Vila Matilde,"8,9",104.947,11.792
Perus,Anhanguera,"33,3",65.859,1.978
Perus,Perus,"23,9",80.187,3.355
Pinheiros,Alto de Pinheiros,"7,7",43.117,5.600
Pinheiros,Itaim Bibi,"9,9",92.570,9.351
Pinheiros,Jardim Paulista,"6,1",88.692,14.540
Pinheiros,Pinheiros,8,65.364,8.171
Pirituba,Jaraguá,"27,6",184.818,6.696
Pirituba,Pirituba,"17,1",167.931,9.821
Pirituba,São Domingos,10,84.843,8.484
Santana,Mandaqui,"13,1",107.580,8.212
Santana,Santana,"12,6",118.797,9.428
Santana,Tucuruvi,9,98.438,10.938
Santo Amaro,Campo Belo,"8,8",65.752,7.472
Santo Amaro,Campo Grande,"13,1",100.713,7.688
Santo Amaro,Santo Amaro,"15,6",71.560,4.587
São Mateus,Iguatemi,"19,6",127.662,6.513
São Mateus,São Rafael,13,143.992,11.934
São Mateus,São Mateus,"13,2",155.140,10.908
São Miguel,São Miguel,"7,5",92.081,12.277
São Miguel,Jardim Helena,"9,1",135.043,14.840
São Miguel,Vila Jacuí,"7,7",142.372,18.490
Sapopemba,Sapopemba,"13,5",284.524,21.076
Sé,Bela Vista,"2,6",69.460,26.715
Sé,Bom Retiro,4,33.892,"8,473"
Sé,Cambuci,"3,9",36.948,9.474
Sé,Consolação,"3,7",57.365,15.504
Sé,Liberdade,"3,7",69.092,18.674
Sé,República,"2,3",56.981,24.774
Sé,Santa Cecília,"3,9",83.717,"21,466"
Sé,Sé,"2,1",23.651,"11,262"
Vila Maria/Vila Guilherme,Vila Guilherme,"6,9",54.331,"7,874"
Vila Maria/Vila Guilherme,Vila Maria,"11,8",113.463,"9,616"
Vila Maria/Vila Guilherme,Vila Medeiros,"7,7",129.919,"16,873"
Vila Mariana,Moema,9,83.368,"9,263"
Vila Mariana,Saúde,"8,9",130.780,"14,694"
Vila Mariana,Vila Mariana,"8,6",130.484,"15,173"
Vila Prudente,São Lucas,"9,9",142.347,"14,378"
Vila Prudente,Vila Prudente,"9,9",104.242,"10,529"